route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
777,48686.126106,670294,,,,23714,48686,0,0
777,48686.126106,670295,,,,23714,48686,0,0
777,48686.126106,670296,,,,23714,48686,0,0
777,48686.126106,670297,,,,23714,48686,0,0
777,48686.126106,670298,,,,23714,48686,0,0
777,48686.126106,670299,,,,23714,48686,0,0
777,48686.126106,670300,,,,23714,48686,0,0
777,48686.126106,670301,,,,23714,48686,0,0
777,48686.126106,670302,,,,23714,48686,0,0
777,48686.126106,670303,,,,23714,48686,0,0
777,48686.126106,671177,,,,23714,48686,0,0
777,48686.126106,670305,,,,23715,48686,0,0
777,48686.126106,670306,,,,23715,48686,0,0
777,48686.126106,670307,,,,23715,48686,0,0
777,48686.126106,670308,,,,23715,48686,0,0
777,48686.126106,670309,,,,23715,48686,0,0
777,48686.126106,670310,,,,23715,48686,0,0
777,48686.126106,670311,,,,23715,48686,0,0
777,48686.126106,670312,,,,23715,48686,0,0
777,48686.126106,670313,,,,23715,48686,0,0
777,48686.126106,670314,,,,23715,48686,0,0
777,48686.126106,670315,,,,23715,48686,0,0
777,48686.126106,670318,,,,23714,48686,0,0
777,48686.126106,670319,,,,23715,48686,0,0
777,48686.126106,670320,,,,23714,48686,0,0
777,48686.126106,670322,,,,23715,48686,0,0
777,48686.126106,670324,,,,23715,48686,0,0
778,48152.124657,661197,,,,23266,48152,0,0
778,48152.124657,661198,,,,23266,48152,0,0
778,48152.124657,661199,,,,23266,48152,0,0
778,48152.124657,661200,,,,23266,48152,0,0
778,48152.124657,661201,,,,23266,48152,0,0
778,48152.124657,661203,,,,23266,48152,0,0
778,48152.124657,661204,,,,23266,48152,0,0
778,48152.124657,664485,,,,23271,48152,0,0
778,48152.124657,661205,,,,23267,48152,0,0
778,48152.124657,661206,,,,23267,48152,0,0
778,48152.124657,661207,,,,23267,48152,0,0
778,48152.124657,661208,,,,23267,48152,0,0
778,48152.124657,661210,,,,23268,48152,0,0
778,48152.124657,661211,,,,23268,48152,0,0
778,48152.124657,661212,,,,23268,48152,0,0
778,48152.124657,661213,,,,23268,48152,0,0
778,48152.124657,661214,,,,23268,48152,0,0
778,48152.124657,661215,,,,23268,48152,0,0
778,48152.124657,661216,,,,23268,48152,0,0
778,48152.124657,661217,,,,23269,48152,0,0
778,48152.124657,661218,,,,23269,48152,0,0
778,48152.124657,661219,,,,23269,48152,0,0
778,48152.124657,661220,,,,23269,48152,0,0
778,48152.124657,661221,,,,23269,48152,0,0
778,48152.124657,661223,,,,23270,48152,0,0
778,48152.124657,661224,,,,23270,48152,0,0
778,48152.124657,661225,,,,23270,48152,0,0
778,48152.124657,661226,,,,23270,48152,0,0
778,48152.124657,661227,,,,23270,48152,0,0
778,48152.124657,661228,,,,23270,48152,0,0
778,48152.124657,661229,,,,23270,48152,0,0
778,48152.124657,661309,,,,23272,48152,0,0
778,48152.124657,661316,,,,23272,48152,0,0
778,48152.124657,661317,,,,23272,48152,0,0
778,48152.124657,661318,,,,23272,48152,0,0
778,48152.124657,661319,,,,23272,48152,0,0
778,48152.124657,661320,,,,23272,48152,0,0
778,48152.126137,670445,,,,15312,48152,0,0
778,48152.126137,670446,,,,15312,48152,0,0
778,48152.126137,670447,,,,15312,48152,0,0
778,48152.126137,670450,,,,23729,48152,0,0
778,48152.124682,670612,,,,23729,48152,0,0
778,48152.124682,670613,,,,23729,48152,0,0
778,48152.124682,670614,,,,23729,48152,0,0
778,48152.124682,670615,,,,23729,48152,0,0
778,48152.124682,670616,,,,23729,48152,0,0
783,48686.126106,670332,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670333,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670334,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670335,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670336,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670337,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670338,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,670339,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,670340,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671430,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671431,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671432,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671433,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671434,Crimson Cruiser,,,23717,48688,0,0
783,48688.126119,670358,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,670359,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,670360,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,670361,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,671394,Crimson Cruiser,,,23718,48688,0,0
2021,48688.126119,259106,HUIT,,,7293,20415,0,0
2021,48688.126119,259107,HUIT,,,7293,20415,0,0
2021,48688.126119,259108,HUIT,,,7293,20415,0,0
2021,48688.126119,259109,HUIT,,,7293,20415,0,0
2021,48688.126119,259110,HUIT,,,7293,20415,0,0
2021,48688.126119,259111,HUIT,,,7293,20415,0,0
2021,48688.126119,259112,HUIT,,,7293,20415,0,0
2021,48688.126119,259113,HUIT,,,7293,20415,0,0
2021,48688.126119,259114,HUIT,,,7293,20415,0,0
2021,48688.126119,234461,HUIT,,0,7293,17907,0,0
2021,48688.126119,234462,HUIT,,0,7293,17907,0,0
2021,48688.126119,234463,HUIT,,0,7293,17907,0,0
2021,48688.126119,234464,HUIT,,0,7293,17907,0,0
2021,48688.126119,234465,HUIT,,0,7293,17907,0,0
2021,48688.126119,234466,HUIT,,0,7293,17907,0,0
2021,48688.126119,234467,HUIT,,0,7293,17907,0,0
2021,48688.126119,234468,HUIT,,0,7293,17907,0,0
2021,48688.126119,234469,HUIT,,0,7293,17907,0,0
2021,48688.126119,234470,HUIT,,0,7293,17907,0,0
2021,48688.126119,234471,HUIT,,0,7293,17907,0,0
2021,48688.126119,234472,HUIT,,0,7293,17907,0,0
2021,48688.126119,234473,HUIT,,0,7293,17907,0,0
789,48152.124657,661307,,,,23271,48167,0,0
789,48152.124657,661308,,,,23271,48167,0,0
789,48152.124657,670371,,,,23719,48167,0,0
789,48152.124657,670372,,,,23719,48167,0,0
789,48152.124657,670373,,,,23719,48167,0,0
789,48152.124657,670374,,,,23719,48167,0,0
789,48152.124657,670375,,,,23719,48167,0,0
789,48152.124657,670376,,,,23719,48167,0,0
789,48152.124657,670377,,,,23719,48167,0,0
789,48152.124657,670378,,,,23719,48167,0,0
789,48152.124657,670379,,,,23719,48167,0,0
789,48152.124657,670380,,,,23719,48167,0,0
789,48152.124657,670381,,,,23719,48167,0,0
789,48152.124657,670382,,,,23719,48167,0,0
789,48152.124657,670383,,,,23719,48167,0,0
789,48152.124657,670384,,,,23719,48167,0,0
789,48152.124657,670385,,,,23719,48167,0,0
789,48152.124657,670386,,,,23719,48167,0,0
789,48152.124657,670387,,,,23719,48167,0,0
789,48152.124657,670388,,,,23719,48167,0,0
789,48152.124657,670389,,,,23719,48167,0,0
789,48152.124657,670390,,,,23719,48167,0,0
789,48152.124657,670391,,,,23718,48167,0,0
789,48152.124657,670392,,,,23718,48167,0,0
789,48152.124657,670393,,,,23718,48167,0,0
789,48152.124657,670394,,,,23718,48167,0,0
789,48152.124657,670395,,,,23719,48167,0,0
785,17907,661285,,,,23270,48165,0,0
785,17907,661286,,,,23270,48165,0,0
785,17907,661287,,,,23270,48165,0,0
785,17907,661288,,,,23270,48165,0,0
785,17907,661289,,,,23270,48165,0,0
785,17907,661321,,,,23272,48165,0,0
785,17907,661322,,,,23272,48165,0,0
785,17907,661323,,,,23780,48165,0,0
785,17907,661324,,,,23780,48165,0,0
785,17907,661325,,,,23780,48165,0,0
785,17907,661326,,,,23780,48165,0,0
785,17907,661327,,,,23780,48165,0,0
785,17907,661328,,,,23780,48165,0,0
785,17907,661331,,,,23273,48165,0,0
785,17907,661332,,,,23273,48165,0,0
785,17907,661333,,,,23273,48165,0,0
785,17907,661334,,,,23273,48165,0,0
785,17907,661335,,,,23273,48165,0,0
785,17907,661336,,,,23273,48165,0,0
785,17907,661337,,,,23273,48165,0,0
785,17907,661338,,,,23273,48165,0,0
785,48152.124657,671379,,,,23718,48165,0,0
785,48152.124657,671380,,,,23718,48165,0,0
785,48152.124657,671381,,,,23718,48165,0,0
785,48152.124657,671382,,,,23718,48165,0,0
785,48152.124657,671383,,,,23718,48165,0,0
785,48152.124682,671403,,,,23781,48165,0,0
785,48152.124682,671404,,,,23781,48165,0,0
785,48152.124682,671405,,,,23781,48165,0,0
785,48152.124682,671406,,,,23781,48165,0,0
785,48152.124682,671407,,,,23781,48165,0,0
785,48152.124682,671408,,,,23781,48165,0,0
785,48152.124682,671409,,,,23781,48165,0,0
785,48152.124682,671423,,,,23781,48165,0,0
785,48152.126137,610569,Overnight,,,15312,35558,0,0
785,48152.126137,610570,Overnight,,,15312,35558,0,0
785,48152.126137,610571,Overnight,,,15312,35558,0,0
785,48152.126137,265431,Overnight,,,15312,20695,0,0
785,48152.126137,462481,Overnight,,,15312,35560,0,0
785,17907,462482,Overnight,,,23781,35561,0,0
790,48152.124657,661290,,,,23271,48166,0,0
